name,location,cuisines,votes,rating,cost_for_two
Diabetics Dezire Sugarless Sweets and Bakes,Basavanagudi,"Desserts, Mithai",13,3.3,300.0
The Blue Wagon - Kitchen,Jayanagar,"Cafe, Beverages",228,4.6,400.0
HOT COFFEE,Basavanagudi,"South Indian, Chinese",70,4.1,150.0
Patio 805,Jayanagar,"Thai, Vietnamese, Asian, Chinese",364,4.1,1200.0
Lassi Corner,Basavanagudi,"Beverages, Ice Cream",107,3.7,150.0
Sagar Deluxe,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices",167,3.2,300.0
Kanti Sweets,Banashankari,"Mithai, Street Food",115,4.0,400.0
Vegetalia,Banashankari,"Italian, Pizza",27,3.7,400.0
Aramane Donne Biryani,Banashankari,Biryani,57,3.5,200.0
Ande Ka Funda,Banashankari,"North Indian, Fast Food, Rolls",120,3.8,250.0
Cake Ghar,Basavanagudi,Bakery,15,3.8,400.0
Energy Addaa,Basavanagudi,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",64,4.2,500.0
Bhattara Bhojana,Banashankari,South Indian,66,3.6,150.0
Tandoori Knight,Banashankari,"North Indian, Chinese, Biryani, Kebab",290,3.0,450.0
Dev Sagar - Food Street,Basavanagudi,Street Food,233,4.1,200.0
Mitraa Da Pizza,Kumaraswamy Layout,"Fast Food, Pizza",115,3.8,250.0
Paradise Premium,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",119,3.1,700.0
Grazers,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts",291,3.9,650.0
Shakes Theory,Jayanagar,"Beverages, Sandwich",155,4.5,300.0
@Italy,Kumaraswamy Layout,Italian,305,4.1,700.0
Chilli Flakes,Banashankari,"Fast Food, Italian, Beverages",46,3.6,500.0
Calcutta Cafe,Kumaraswamy Layout,"Bengali, Chinese, Sandwich",45,3.5,350.0
Old Mumbai Ice Cream,Banashankari,Ice Cream,38,3.9,150.0
Donne Biriyani House,Banashankari,"South Indian, North Indian, Chinese, Biryani",441,3.9,400.0
By 2 Coffee,Basavanagudi,South Indian,25,3.9,100.0
Kedia's Fun Food,Jayanagar,"North Indian, Street Food, Juices",630,4.3,200.0
Davangere Butter Dosa Hotel,Kumaraswamy Layout,South Indian,25,3.8,150.0
Just Shawarma,Kumaraswamy Layout,Arabian,160,3.9,300.0
Mini Punjabi Dhaba,Banashankari,North Indian,287,4.2,350.0
Mulabagilu Dosa,Basavanagudi,South Indian,11,3.6,100.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,402,4.1,500.0
Gokul Veg,Basavanagudi,"North Indian, Chinese, Beverages",469,3.8,750.0
Olive - Era,Kumaraswamy Layout,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",511,3.3,550.0
Udupi Ruchi,Banashankari,"South Indian, North Indian, Chinese, Street Food",57,3.9,200.0
Madhappa Hindu Military Hotel,Banashankari,South Indian,14,3.4,300.0
Gama Gama,Banashankari,South Indian,264,3.9,200.0
The Vintage Cafe,Banashankari,"Cafe, French, North Indian",62,3.0,400.0
Pizza Hut,Banashankari,"Pizza, Fast Food",693,3.8,750.0
Mangalore Pearl,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",242,3.8,650.0
Asha Sweets Centre,Basavanagudi,Fast Food,27,3.6,250.0
Twiststick House,Basavanagudi,"Continental, Fast Food, Street Food, Momos",163,4.1,500.0
Cool Corner,Basavanagudi,"Street Food, Fast Food",191,4.2,250.0
Pizza Mane,Banashankari,"Pizza, Sandwich, Burger, Fast Food",32,3.5,150.0
Dal Tadkaa,Banashankari,North Indian,247,2.5,500.0
Chutney Chang,Jayanagar,"North Indian, Chinese, BBQ",2339,4.1,1500.0
Mystique Palate,Jayanagar,"Chinese, Fast Food",337,4.1,300.0
Thamboola,Banashankari,"North Indian, Chinese, Continental",135,3.9,800.0
Castle Rock,Uttarahalli,"North Indian, Chinese",172,3.6,700.0
Vietnamese Kitchen,Banashankari,Vietnamese,105,3.6,700.0
Smacznego,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",504,4.2,550.0
C Corner,Kumaraswamy Layout,"Fast Food, Street Food",36,3.2,200.0
Paratha Merchant,Kumaraswamy Layout,North Indian,39,3.1,300.0
North Rasoe,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Kebab",5,3.1,500.0
Toscano,Jayanagar,"Italian, Salad",1129,4.3,1300.0
Lord Of The Kitchen,Kumaraswamy Layout,"North Indian, Chinese",56,3.9,350.0
Stoned Monkey,Banashankari,"Desserts, Ice Cream",860,4.3,500.0
Central Jail Restaurant,Jayanagar,"Andhra, Seafood, North Indian, Chinese",412,3.8,700.0
Bella,Jayanagar,"Mangalorean, Seafood, South Indian",142,3.9,1000.0
Vennela Andhra Meals,Jayanagar,Andhra,23,3.0,400.0
New Prashanth Hotel,Jayanagar,"South Indian, Biryani, Chinese, North Indian",143,3.6,750.0
The Grillo,Jayanagar,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",80,2.8,500.0
Re Malnad Nati Style Hotel,JP Nagar,South Indian,16,3.6,400.0
Karma Kaapi,Jayanagar,"Beverages, Tea",181,4.4,250.0
Tiwari's,Jayanagar,"North Indian, Street Food",70,3.8,200.0
Pizza Stop,Basavanagudi,"Pizza, Italian",164,3.8,600.0
Biggies Burger 'n' More,Kumaraswamy Layout,"Cafe, Burger, Beverages",58,3.6,650.0
Srinathji's Cafe,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",148,3.8,550.0
Kollapuri's,Basavanagudi,"South Indian, Mangalorean",206,3.9,450.0
Kadamba Classic,Mysore Road,South Indian,16,3.6,300.0
RS Shiv Sagar,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food, Juices",217,3.7,450.0
Kholi Mane,Basavanagudi,"Andhra, South Indian, Biryani, North Indian",46,3.6,450.0
Harshi Super Sandwich,Basavanagudi,"Fast Food, Street Food",148,3.8,150.0
Cake Yard,Basavanagudi,Desserts,30,3.4,250.0
Rosewood International Hotel - Bar & Restaurant,Mysore Road,"North Indian, South Indian, Andhra, Chinese",8,3.6,800.0
Sri Udupi Veg,Jayanagar,South Indian,4,3.3,250.0
Cake Art,Basavanagudi,Bakery,15,3.5,400.0
Potato House,Uttarahalli,Street Food,9,3.4,200.0
Matru Sagar,Mysore Road,"South Indian, North Indian",31,3.7,300.0
Ugadi,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean",177,2.9,700.0
Sri Krishna Sweets,Basavanagudi,"Mithai, Desserts",22,3.7,250.0
In Time Cane Juice,Kumaraswamy Layout,"Juices, Beverages",10,3.5,100.0
Subway,Banashankari,"Salad, Fast Food",136,3.7,600.0
Daal Roti,Kumaraswamy Layout,"North Indian, Chinese",35,2.9,250.0
The Lassi Park,Jayanagar,"Juices, Desserts",185,4.1,200.0
Cafe Coffee Day,Jayanagar,"Cafe, Fast Food",17,3.2,900.0
A2B - Adyar Ananda Bhavan,Mysore Road,"South Indian, North Indian, Chinese, Street Food",155,3.8,400.0
Srikrishna Bhavan,Banashankari,"South Indian, North Indian, Chinese",42,3.8,300.0
Timepass Dinner,Basavanagudi,North Indian,286,3.8,600.0
Green Gardenia,Banashankari,"North Indian, Chinese",160,3.8,700.0
J Spice,Banashankari,"North Indian, Chinese",59,3.8,750.0
Karavali Family Restaurant,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese",90,3.5,500.0
Karavali Lunch Home,Kumaraswamy Layout,"South Indian, Mangalorean",51,3.7,350.0
Hatti Kaapi,Jayanagar,"South Indian, Beverages",89,4.0,200.0
Kolkata Kathi Roll's,Banashankari,"Fast Food, Rolls",18,3.6,250.0
Upahara Darshini,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food",40,3.9,600.0
The Chaat Shop,Basavanagudi,Fast Food,35,2.5,200.0
Anda Ka Funda,Jayanagar,"North Indian, Chinese, Rolls",89,3.4,250.0
Shri Vinayaka Ice N Juice,Basavanagudi,"Beverages, Fast Food",11,3.2,150.0
My Tea House,Banashankari,"Italian, Fast Food, Cafe, European",62,3.6,600.0
Ibaco,Jayanagar,Desserts,33,3.9,300.0
Jalaram Sweets,Jayanagar,"Desserts, Mithai",32,3.8,250.0
Samskruti - Sanman Gardenia,Jayanagar,"North Indian, Chinese, South Indian",139,4.1,550.0
Bendakaluru Bytes,Vijay Nagar,Fast Food,154,3.2,300.0
Cocoa Bakes,Banashankari,"Bakery, Desserts",14,3.6,350.0
Chumma Delicious,Banashankari,"South Indian, Fast Food",237,3.7,200.0
New Prashanth Hotel,Banashankari,"Biryani, North Indian, Seafood, Andhra",388,3.9,650.0
Dwaraka Grand,Kumaraswamy Layout,"South Indian, Chinese, Street Food, Juices",128,3.9,500.0
Gufha - The President Hotel,Jayanagar,"North Indian, Afghani, Mughlai",1875,4.1,1200.0
Cafe Vivacity,Banashankari,Cafe,90,3.8,650.0
Tanna's Kitchen,Kumaraswamy Layout,"Italian, Chinese, Street Food",7,3.1,250.0
Shree Mandarathi Grand,Uttarahalli,"South Indian, North Indian",38,3.7,400.0
Mojo Pizza - 2X Toppings,Banashankari,Pizza,179,4.2,600.0
Iceberg Icecreams,Basavanagudi,"Desserts, Ice Cream",43,4.0,250.0
South Kitchen,Basavanagudi,South Indian,275,4.3,100.0
Chung Wah,Jayanagar,"Chinese, Thai, Momos",323,3.7,850.0
Shanthi Sagar,Uttarahalli,"South Indian, North Indian, Chinese",28,3.1,400.0
Millet Mama,Basavanagudi,"South Indian, Healthy Food",18,3.9,200.0
Bangarpet Chat Express,Basavanagudi,"Street Food, Fast Food",6,3.3,100.0
Prems Graama Bhojanam,Jayanagar,South Indian,322,4.3,400.0
Java City,Jayanagar,"Cafe, American, Pizza",157,2.6,450.0
Kamat Bugle Rock,Basavanagudi,"South Indian, Fast Food",543,3.9,300.0
Woodee Pizza,Banashankari,"Cafe, Pizza, Fast Food, Beverages",180,3.7,500.0
Puliyogare Point,Basavanagudi,South Indian,444,4.2,100.0
Bangalore Agarwal Bhavan,Jayanagar,"Street Food, North Indian, South Indian",134,3.9,400.0
Rustic Stove,Jayanagar,"North Indian, South Indian, Biryani, Beverages",577,3.8,900.0
Udupi Ruchi Grand,Banashankari,"South Indian, North Indian, Chinese, Street Food",60,4.2,200.0
De Thaali,Jayanagar,"North Indian, Chinese, Rolls",144,3.9,550.0
Spice Elephant,Banashankari,"Chinese, North Indian, Thai",787,4.1,800.0
Just Thindi,Basavanagudi,South Indian,16,3.6,200.0
Matru Sagar,Banashankari,"South Indian, North Indian, Chinese",84,3.6,250.0
Vasanth Vihar - Since 1965,Banashankari,"South Indian, Street Food",95,3.6,150.0
Sea Spice by 7 Star,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",349,4.0,1200.0
Desi Dawat,Kumaraswamy Layout,"North Indian, Fast Food",248,3.7,400.0
Cafe Aira,Basavanagudi,"Cafe, Continental, Beverages, Desserts",216,4.1,500.0
Penthouse Cafe,Banashankari,"Cafe, Italian, Continental",324,4.0,700.0
Mast Punjabi,Kumaraswamy Layout,"North Indian, Chinese, Rolls, Biryani, Kebab",231,2.6,400.0
South Grand,Uttarahalli,"South Indian, North Indian, Chinese, Beverages",102,3.4,400.0
Catch-up-ino,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",133,3.9,800.0
The Pizzeria,Banashankari,"Pizza, Italian, Salad",45,2.8,800.0
Cafe Zone,Kumaraswamy Layout,"Fast Food, Chinese, Rolls",149,3.9,300.0
Ruchis Point,Banashankari,"Fast Food, Chinese",75,3.8,200.0
Firangi Bake,Rajarajeshwari Nagar,"Mexican, Italian",53,4.0,600.0
The Royal Corner - Pai Viceroy,Jayanagar,"North Indian, Chinese",815,4.2,900.0
Hara Fine Dine,Banashankari,"North Indian, Chinese",633,4.0,800.0
Chocoberry,Jayanagar,"Ice Cream, Desserts, Beverages",56,3.5,400.0
Dakshin Grand,Banashankari,"South Indian, North Indian, Chinese, Street Food",82,3.0,300.0
Sandwichwallas,Jayanagar,Fast Food,35,3.7,200.0
Chai Mane,Basavanagudi,"Juices, Fast Food",20,3.6,150.0
SLV Upachar,Kumaraswamy Layout,"South Indian, Chinese, Street Food",14,3.1,250.0
Waffle-A-Go Go,Banashankari,"Fast Food, Desserts, Ice Cream",70,3.9,400.0
Cross Road Cafe,Jayanagar,"Cafe, Fast Food, Chinese",91,3.9,300.0
Anand Donne Biriyani,Jayanagar,Biryani,45,3.6,200.0
Seven Star,Banashankari,"North Indian, Chinese",7,3.4,250.0
Stop 'N' Joy,Banashankari,Fast Food,28,3.8,150.0
Sri Yaksha Shiv Sagar,Banashankari,"North Indian, Chinese",24,3.6,600.0
Fudge,Basavanagudi,"Desserts, Momos",36,3.8,200.0
Just Bunny,Jayanagar,Fast Food,11,3.5,200.0
Bakers Town,Kumaraswamy Layout,"Cafe, Continental, Fast Food",77,3.8,650.0
Shree Mahalakshmi Sweets,Banashankari,"Mithai, Street Food",8,3.2,100.0
Kaapi Kendra,Jayanagar,South Indian,14,3.7,100.0
Ivy,Kumaraswamy Layout,"North Indian, Chinese, Fast Food",210,3.8,600.0
The Airos,Jayanagar,"Cafe, Italian, Pizza",130,4.1,650.0
Chai Kraft,Jayanagar,"Beverages, Tea",30,4.1,100.0
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",144,3.8,700.0
South Point Pub,Basavanagudi,"North Indian, Seafood, Chinese",11,3.4,800.0
The Trundle,Jayanagar,"Chinese, Thai, Continental, North Indian",133,3.7,700.0
The Krishna Grand Xpress,Jayanagar,"South Indian, Fast Food",136,4.0,350.0
Sri Krishna Darshini,Basavanagudi,"South Indian, North Indian, Chinese",4,3.1,200.0
Shringar Sweets & Snacks,Basavanagudi,"Mithai, South Indian, Street Food, Fast Food",11,3.5,200.0
Udupi Grand,Basavanagudi,"South Indian, North Indian, Chinese",74,3.8,300.0
Ganesh Grand,Basavanagudi,"South Indian, North Indian, Desserts",30,3.7,300.0
Shreyas Upahar & Burger Point,Basavanagudi,"South Indian, Burger",7,3.0,200.0
Coffee Tindi,Banashankari,"Cafe, South Indian",75,3.8,200.0
Little Cafe,Basavanagudi,"Cafe, Beverages",54,3.7,600.0
Mumbai Badam Milk & Lassi Center,Basavanagudi,"Beverages, Desserts",23,3.6,100.0
Sri Krishna Sagar,Banashankari,"North Indian, Chinese",119,3.2,400.0
Mylari Biryani Family Restaurant,Banashankari,"Biryani, Fast Food",73,3.7,400.0
1980s Games Cafe,Basavanagudi,"Cafe, Fast Food",58,3.4,400.0
Kadala Tarangaa,Banashankari,"Mangalorean, Seafood, North Indian",129,3.6,600.0
Namma Biryani,Banashankari,"Biryani, Chinese, North Indian",24,3.6,250.0
Nandhanu's Rasoi,Kumaraswamy Layout,"Chinese, North Indian",175,3.0,400.0
Hotel Pork Paradise,Mysore Road,South Indian,21,3.7,300.0
As On Fire,South Bangalore,"Pizza, Fast Food, BBQ",41,3.5,400.0
J K Fish Land,Jayanagar,"Seafood, Mangalorean",35,3.6,300.0
Curry Leaves,Basavanagudi,"Andhra, North Indian, Chinese",176,4.1,800.0
Lassi Shop,Banashankari,"Beverages, Ice Cream, Fast Food",45,3.5,300.0
Magic Meals,Jayanagar,"Fast Food, Desserts, Beverages",47,3.7,400.0
Desi Cream Junction,Jayanagar,"Chinese, North Indian, Pizza, Italian",36,3.7,650.0
Drunken Monkey,Kumaraswamy Layout,"Beverages, Fast Food",52,3.8,400.0
Ruchi's Corner,Banashankari,Fast Food,123,2.7,200.0
Tandoori Bytes,Kumaraswamy Layout,North Indian,59,3.6,700.0
Bangalore Donne Biriyani,Kumaraswamy Layout,"South Indian, Biryani",4,3.2,300.0
SGS Non Veg - Gundu Pulav,Banashankari,"Biryani, Fast Food",101,3.8,400.0
Keventers,Banashankari,"Desserts, Beverages, Ice Cream",54,3.7,400.0
Navi Food Point,Basavanagudi,Fast Food,22,3.6,200.0
Shawarma Inc,Banashankari,"Rolls, Lebanese",31,3.1,250.0
The Cafe Nuts and Bolts,Kumaraswamy Layout,"Cafe, Fast Food, Chinese",29,3.0,500.0
AM WOW,Jayanagar,Beverages,6,3.4,100.0
Lalbagh Grand,Basavanagudi,"South Indian, North Indian, Chinese",22,3.0,250.0
Funjabi Curries,Banashankari,North Indian,11,2.9,500.0
Eat Repeat,Basavanagudi,South Indian,101,3.9,150.0
Salut,Jayanagar,"Continental, Finger Food, Seafood, Pizza",442,4.1,1200.0
Nammura Donne Biriyani,Basavanagudi,"Biryani, Fast Food",155,3.5,400.0
Lassi Stop,Banashankari,"Beverages, Fast Food, Juices",12,3.4,150.0
Dakshin Kitchen,Basavanagudi,South Indian,15,3.6,100.0
Sri Sai Cafe,Basavanagudi,South Indian,10,3.5,200.0
Sri Sai 99 Variety Dosa,Banashankari,South Indian,25,3.8,300.0
Utsav Restaurant,Banashankari,"North Indian, Chinese",61,3.8,300.0
Crunch and Munch,Uttarahalli,"Chinese, Street Food, Ice Cream",23,3.7,300.0
Food Geek,Basavanagudi,"Sandwich, Fast Food, Rolls",25,3.8,350.0
Sri Krishna Aramane,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Fast Food",40,3.7,200.0
Great Indian Rolls,Basavanagudi,Rolls,4,3.3,100.0
Chats Point,Basavanagudi,"Fast Food, Street Food",8,3.4,150.0
